2016/11/21 14:28:34 [error] 7#7: *1 open() "/home/s/web/com/steven-luong/manager/html" failed (2: No such file or directory), client: 111.73.46.227, server: , request: "GET /manager/html HTTP/1.1", host: "91.121.13.22:8888"
2016/11/21 17:53:56 [error] 7#7: *2 open() "/home/s/web/com/steven-luong/cache/global/img/gs.gif" failed (2: No such file or directory), client: 94.102.49.174, server: , request: "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1", host: "www.baidu.com"
2016/11/21 20:33:13 [error] 6#6: *3 open() "/home/s/web/com/steven-luong/favicon.ico" failed (2: No such file or directory), client: 43.241.222.224, server: , request: "GET http://www.baidu.com/favicon.ico HTTP/1.1", host: "www.baidu.com"
2016/11/21 23:31:12 [error] 6#6: *45 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 163.172.45.34, server: , request: "POST / HTTP/1.0"
2016/11/21 23:41:59 [error] 6#6: *46 open() "/home/s/web/com/steven-luong/robots.txt" failed (2: No such file or directory), client: 66.249.66.43, server: , request: "GET /robots.txt HTTP/1.1", host: "slapps.fr:8888"
2016/11/21 23:41:59 [error] 6#6: *46 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 66.249.66.43, server: , request: "GET / HTTP/1.1", host: "slapps.fr:8888"
2016/11/22 01:04:18 [error] 6#6: *47 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 180.76.15.161, server: , request: "GET / HTTP/1.1", host: "slapps.fr:8888"
2016/11/22 02:19:22 [error] 6#6: *48 open() "/home/s/web/com/steven-luong/cache/global/img/gs.gif" failed (2: No such file or directory), client: 93.174.93.136, server: , request: "GET http://www.baidu.com/cache/global/img/gs.gif HTTP/1.1", host: "www.baidu.com"
2016/11/22 15:11:54 [error] 6#6: *50 open() "/home/s/web/com/steven-luong/status" failed (2: No such file or directory), client: 178.125.3.114, server: , request: "GET /status HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 15:11:54 [error] 6#6: *50 open() "/home/s/web/com/steven-luong/stat" failed (2: No such file or directory), client: 178.125.3.114, server: , request: "GET /stat HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:26 [error] 6#6: *51 open() "/home/s/web/com/steven-luong/status" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /status?full=true HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:26 [error] 6#6: *52 "/home/s/web/com/steven-luong/index.html" is not found (2: No such file or directory), client: 149.202.72.240, server: , request: "GET / HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:33 [error] 6#6: *53 open() "/home/s/web/com/steven-luong/script" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /script HTTP/1.1", host: "91.121.13.22:8888"
2016/11/22 17:35:33 [error] 6#6: *54 open() "/home/s/web/com/steven-luong/jenkins/script" failed (2: No such file or directory), client: 149.202.72.240, server: , request: "GET /jenkins/script HTTP/1.1", host: "91.121.13.22:8888"
